id,first_name,last_name,email,gender,date,product,price,quantity,Total
1,Halsey,Andreone,handreone0@printfriendly.com,Agender,2021-10-24,Lettuce - Boston Bib - Organic,8.8,1,8.8
2,Web,Fountaine,wfountaine1@twitpic.com,Agender,2021-10-21,Wine - Cave Springs Dry Riesling,10.2,3,30.599999999999998
3,Pepe,Skoggins,pskoggins2@diigo.com,Female,2021-10-18,Cookie Dough - Peanut Butter,10.9,1,10.9
4,Goldie,Chevis,gchevis3@hatena.ne.jp,Genderfluid,2021-10-19,Triple Sec - Mcguinness,14.2,5,71.0
5,Joli,Matuszewski,jmatuszewski4@4shared.com,Non-binary,2021-10-23,Beer - Sleemans Honey Brown,16.8,5,84.0
6,Crysta,Wybern,cwybern5@eventbrite.com,Female,2021-10-18,Syrup - Kahlua Chocolate,8.1,5,40.5
7,Evyn,Mulrean,emulrean6@sohu.com,Non-binary,2021-10-18,Cake - Cake Sheet Macaroon,18.0,3,54.0
8,Edgard,Kingdon,ekingdon7@soup.io,Bigender,2021-10-18,Cherries - Frozen,5.5,2,11.0
9,Thoma,Casburn,tcasburn8@nyu.edu,Bigender,2021-10-22,Devonshire Cream,15.9,2,31.8
10,Gwynne,Chiene,gchiene9@google.ru,Male,2021-10-22,Pur Source,7.9,3,23.700000000000003
11,Nellie,MacDermand,nmacdermanda@accuweather.com,Polygender,2021-10-21,Leeks - Large,12.2,4,48.8
12,Mordecai,Tinston,mtinstonb@last.fm,Female,2021-10-18,Tea - Apple Green Tea,1.6,4,6.4
13,Genovera,Woodthorpe,gwoodthorpec@spiegel.de,Non-binary,2021-10-20,Artichoke - Fresh,1.0,1,1.0
14,Wallie,Daskiewicz,wdaskiewiczd@washington.edu,Genderqueer,2021-10-24,Beets - Golden,2.6,2,5.2
15,Darrel,Pigney,dpigneye@chicagotribune.com,Genderqueer,2021-10-18,Oneshot Automatic Soap System,16.1,2,32.2
16,Marta,Harfleet,mharfleetf@seesaa.net,Non-binary,2021-10-19,Veal - Sweetbread,14.0,5,70.0
17,Josepha,Renvoys,jrenvoysg@ow.ly,Agender,2021-10-21,Latex Rubber Gloves Size 9,13.0,3,39.0
18,Ardath,Tebb,atebbh@storify.com,Female,2021-10-24,Trueblue - Blueberry 12x473ml,10.4,5,52.0
19,Tonnie,Thunderman,tthundermani@bloglines.com,Male,2021-10-22,Pea - Snow,13.1,1,13.1
20,Glen,Cerie,gceriej@pcworld.com,Non-binary,2021-10-23,Pork - Side Ribs,14.4,3,43.2
21,Yule,Dickon,ydickonk@chronoengine.com,Bigender,2021-10-20,Ecolab - Ster Bac,18.7,3,56.099999999999994
22,Jolynn,Duprey,jdupreyl@guardian.co.uk,Genderqueer,2021-10-23,Lamb Shoulder Boneless Nz,18.3,5,91.5
23,Pascal,Mollene,pmollenem@bing.com,Genderfluid,2021-10-18,"Butter - Salted, Micro",17.6,1,17.6
24,Byron,Di Nisco,bdiniscon@wsj.com,Female,2021-10-18,Appetizer - Chicken Satay,14.7,5,73.5
25,Nissa,Warrilow,nwarrilowo@hatena.ne.jp,Non-binary,2021-10-24,Zucchini - Yellow,11.5,3,34.5
26,Ervin,Wyss,ewyssp@deliciousdays.com,Genderfluid,2021-10-21,Wine - Malbec Trapiche Reserve,5.6,3,16.799999999999997
